"MLog","BirthDate","Health","Conceive","Org","VetID","Comments","Weight","EstW","WDate","Length","EstL","LDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
40,1990-01-01 00:00:00.000,U,U,HSSWP,Unk,calf of Lorelei,0,U,1990-01-01 00:00:00.000,0,U,1990-01-01 00:00:00.000,unk,1990-01-01 00:00:00.000,D,2009-07-09 10:09:34.293
68,2000-10-02 00:00:00.000,U,U,MSQ,mrodriguez,,29,Y,2000-10-02 00:00:00.000,85,Y,2000-10-02 00:00:00.000,rrose,2000-10-20 00:00:00.000,D,2009-07-09 10:09:34.293
179,1980-08-03 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1980-08-03 00:00:00.000,0,U,1980-08-03 00:00:00.000,jhoyo,1980-08-03 00:00:00.000,D,2009-07-09 10:09:34.293
216,1981-06-15 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1981-06-15 00:00:00.000,0,U,1981-06-15 00:00:00.000,gbossart,1981-06-15 00:00:00.000,D,2009-07-09 10:09:34.293
227,1982-09-05 00:00:00.000,U,C,MSQ,Unk,Romeo sire,0,U,1982-09-05 00:00:00.000,0,U,1982-09-05 00:00:00.000,unk,1982-09-05 00:00:00.000,D,2009-07-09 10:09:34.293
237,1982-09-06 00:00:00.000,U,U,MSQ,Unk,,0,U,1982-09-06 00:00:00.000,0,U,1982-09-06 00:00:00.000,unk,1982-09-06 00:00:00.000,D,2009-07-09 10:09:34.293
247,1982-10-17 00:00:00.000,U,C,MSQ,Unk,Romeo sire,0,U,1982-10-17 00:00:00.000,0,U,1982-10-17 00:00:00.000,unk,1982-10-17 00:00:00.000,D,2009-07-09 10:09:34.293
258,1983-11-20 00:00:00.000,U,C,MSQ,gbossart,"992027, Romeo sire",0,U,1983-11-23 00:00:00.000,0,U,1983-11-23 00:00:00.000,jcaron,1983-11-23 00:00:00.000,dszemer,2011-05-31 11:11:56.673
261,1992-04-29 00:00:00.000,U,C,MSQ,mrenner,Romeo sire,34,N,1992-04-29 00:00:00.000,117,N,1992-04-29 00:00:00.000,jhoyo,1992-05-14 00:00:00.000,D,2009-07-09 10:09:34.293
267,1984-06-28 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1984-06-28 00:00:00.000,0,U,1984-06-28 00:00:00.000,jcaron,1984-06-28 00:00:00.000,D,2009-07-09 10:09:34.293
270,1992-07-02 00:00:00.000,U,C,SWF,mwalsh,Gene was father,23,U,1992-07-02 00:00:00.000,120,U,1992-07-02 00:00:00.000,bwagoner,1992-07-02 00:00:00.000,D,2009-07-09 10:09:34.293
276,1985-07-22 00:00:00.000,U,U,MSQ,gbossart,,0,U,1985-07-22 00:00:00.000,125,U,1985-07-22 00:00:00.000,unk,1985-07-22 00:00:00.000,D,2009-07-09 10:09:34.293
280,1992-08-27 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,35,N,1992-08-27 00:00:00.000,115,N,1992-08-27 00:00:00.000,gbossart,1992-08-31 00:00:00.000,D,2009-07-09 10:09:34.293
281,1992-09-24 00:00:00.000,U,U,SWF,tcampbell,Gene/Dundee?,29,N,1992-09-24 00:00:00.000,124,N,1992-09-24 00:00:00.000,bwagoner,1992-09-28 00:00:00.000,D,2009-07-09 10:09:34.293
282,1992-10-21 00:00:00.000,U,C,HSSWP,mlowe,Hurricane or Hugh as dad,0,U,1992-10-21 00:00:00.000,120,U,1992-10-21 00:00:00.000,tlinley,1992-10-22 00:00:00.000,D,2009-07-09 10:09:34.293
284,1992-12-21 00:00:00.000,U,U,HSSWP,mlowe,,20,U,1992-12-21 00:00:00.000,0,U,1992-12-21 00:00:00.000,jgarner,1992-12-21 00:00:00.000,D,2009-07-09 10:09:34.293
285,1986-07-11 00:00:00.000,U,U,SWF,mwalsh,,33,U,1986-07-11 00:00:00.000,122,U,1986-07-11 00:00:00.000,bwagoner,1986-07-11 00:00:00.000,D,2009-07-09 10:09:34.293
290,1993-01-17 00:00:00.000,U,U,MSQ,gbossart,,27,N,1993-01-17 00:00:00.000,70,N,1993-01-17 00:00:00.000,jhoyo,1993-01-20 00:00:00.000,D,2009-07-09 10:09:34.293
295,1993-03-19 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,31,N,1993-03-19 00:00:00.000,122,N,1993-03-19 00:00:00.000,jhoyo,1993-03-19 00:00:00.000,D,2009-07-09 10:09:34.293
313,1987-05-16 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1987-05-16 00:00:00.000,0,U,1987-05-16 00:00:00.000,jcaron,1987-05-16 00:00:00.000,D,2009-07-09 10:09:34.293
314,1994-05-18 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,34,N,1994-05-18 00:00:00.000,127,N,1994-05-18 00:00:00.000,jhoyo,1994-05-19 00:00:00.000,D,2009-07-09 10:09:34.293
320,1994-07-19 00:00:00.000,U,U,SWF,tcampbell,,27,U,1994-07-19 00:00:00.000,122,U,1994-07-19 00:00:00.000,bwagoner,1994-07-20 00:00:00.000,D,2009-07-09 10:09:34.293
323,1987-05-26 00:00:00.000,U,U,HSSWP,mlowe,,0,U,1987-05-26 00:00:00.000,0,U,1987-05-26 00:00:00.000,tlinley,1987-05-26 00:00:00.000,D,2009-07-09 10:09:34.293
327,1994-10-06 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,31,N,1994-10-06 00:00:00.000,137,N,1994-10-06 00:00:00.000,jhoyo,1994-10-08 00:00:00.000,D,2009-07-09 10:09:34.293
334,1987-06-20 00:00:00.000,U,C,HSSWP,mlowe,dad was JP,19,U,1987-06-20 00:00:00.000,109,U,1987-06-20 00:00:00.000,tlinley,1987-06-20 00:00:00.000,D,2009-07-09 10:09:34.293
341,1995-04-03 00:00:00.000,U,C,MSQ,mrenner,Harvey is dad,31,U,1995-04-03 00:00:00.000,125,U,1995-04-03 00:00:00.000,jhoyo,1995-04-03 00:00:00.000,D,2009-07-09 10:09:34.293
345,1989-03-13 00:00:00.000,U,C,MSQ,Unk,Romeo sire,45,U,1989-03-13 00:00:00.000,128,U,1989-03-13 00:00:00.000,unk,1989-03-13 00:00:00.000,D,2009-07-09 10:09:34.293
348,1995-04-29 00:00:00.000,U,U,SWF,tcampbell,,33,N,1995-04-29 00:00:00.000,122,N,1995-04-29 00:00:00.000,bwagoner,1995-05-01 00:00:00.000,D,2009-07-09 10:09:34.293
354,1995-06-02 00:00:00.000,U,U,SWF,dbuesse,,13,U,1995-06-02 00:00:00.000,100,Y,1995-06-02 00:00:00.000,dbuesse,1995-06-02 00:00:00.000,D,2009-07-09 10:09:34.293
356,1989-03-30 00:00:00.000,U,C,HSSWP,mlowe,dad was JP,30,U,1989-03-30 00:00:00.000,123,U,1989-03-30 00:00:00.000,tlinley,1989-03-30 00:00:00.000,D,2009-07-09 10:09:34.293
366,1989-09-16 00:00:00.000,U,U,HSSWP,Unk,,20,U,1989-09-16 00:00:00.000,109,U,1989-09-16 00:00:00.000,unk,1989-09-16 00:00:00.000,D,2009-07-09 10:09:34.293
377,1990-02-05 00:00:00.000,U,U,HSSWP,mlowe,,10,U,1990-02-05 00:00:00.000,86,U,1990-02-05 00:00:00.000,tlinley,1990-02-05 00:00:00.000,D,2009-07-09 10:09:34.293
388,1990-03-16 00:00:00.000,U,U,SWF,mwalsh,,25,U,1990-03-16 00:00:00.000,121,U,1990-03-16 00:00:00.000,jpearson,1990-03-23 00:00:00.000,D,2009-07-09 10:09:34.293
391,1996-05-20 00:00:00.000,U,U,LPZ,dmurphy,,33,N,1996-05-20 00:00:00.000,127,N,1996-05-20 00:00:00.000,swinslow,1996-05-20 00:00:00.000,D,2009-07-09 10:09:34.293
399,1990-05-30 00:00:00.000,U,U,SWF,mwalsh,,20,U,1990-05-30 00:00:00.000,111,U,1990-05-30 00:00:00.000,bwagoner,1990-05-30 00:00:00.000,D,2009-07-09 10:09:34.293
400,1996-08-16 00:00:00.000,U,U,SWF,mwalsh,,28,U,1996-08-16 00:00:00.000,125,U,1996-08-16 00:00:00.000,bwagoner,1996-08-16 00:00:00.000,D,2009-07-09 10:09:34.293
410,1990-06-19 00:00:00.000,U,C,LVS,rstevens,JP dad,15,U,1990-06-19 00:00:00.000,100,U,1990-06-19 00:00:00.000,thopkins,1990-06-19 00:00:00.000,D,2009-07-09 10:09:34.293
412,1990-08-28 00:00:00.000,U,C,MSQ,mrenner,Romeo sire,32,U,1990-08-28 00:00:00.000,123,U,1990-08-28 00:00:00.000,boucher,1990-08-28 00:00:00.000,D,2009-07-09 10:09:34.293
413,1990-10-19 00:00:00.000,U,U,HSSWP,mlowe,,0,U,1990-10-19 00:00:00.000,0,U,1990-10-19 00:00:00.000,tlinley,1990-10-19 00:00:00.000,D,2009-07-09 10:09:34.293
418,1990-11-14 00:00:00.000,U,U,HSSWP,mlowe,,23,U,1990-11-14 00:00:00.000,116,U,1990-11-14 00:00:00.000,tlinley,1990-11-14 00:00:00.000,D,2009-07-09 10:09:34.293
427,1990-11-14 00:00:00.000,U,U,HSSWP,mlowe,,28,U,1990-11-14 00:00:00.000,125,U,1990-11-14 00:00:00.000,tlinley,1990-11-14 00:00:00.000,D,2009-07-09 10:09:34.293
435,1991-03-05 00:00:00.000,U,U,SWF,mwalsh,,35,U,1991-03-05 00:00:00.000,121,U,1991-03-05 00:00:00.000,jpearson,1991-03-05 00:00:00.000,D,2009-07-09 10:09:34.293
451,1991-07-19 00:00:00.000,U,U,HSSWP,mlowe,,0,U,1991-07-19 00:00:00.000,125,U,1991-07-19 00:00:00.000,tlinley,1991-07-19 00:00:00.000,D,2009-07-09 10:09:34.293
456,1991-09-11 00:00:00.000,U,U,SWF,tcampbell,,28,U,1991-09-11 00:00:00.000,121,U,1991-09-11 00:00:00.000,bwagoner,1991-09-11 00:00:00.000,D,2009-07-09 10:09:34.293
458,1991-09-13 00:00:00.000,U,C,LVS,rstevens,JP dad,32,N,1991-09-13 00:00:00.000,125,N,1991-09-13 00:00:00.000,colitz,1991-10-02 00:00:00.000,D,2009-07-09 10:09:34.293
460,1991-10-17 00:00:00.000,U,C,SWF,tcampbell,Gene is father,24,N,1991-10-17 00:00:00.000,102,N,1991-10-17 00:00:00.000,bwagoner,1991-10-18 00:00:00.000,D,2009-07-09 10:09:34.293
461,1991-11-22 00:00:00.000,U,C,SWF,tcampbell,Gene is father,22,N,1991-11-22 00:00:00.000,104,N,1991-11-22 00:00:00.000,bwagoner,1991-11-26 00:00:00.000,D,2009-07-09 10:09:34.293
463,1975-05-03 00:00:00.000,U,C,MSQ,mlowe,Romeo sire,35,U,1975-05-03 00:00:00.000,97,U,1975-05-03 00:00:00.000,tlinley,1975-05-03 00:00:00.000,D,2009-07-09 10:09:34.293
538,2003-03-29 00:00:00.000,C,W,LPZ,dmurphy,,24,N,2003-03-29 00:00:00.000,0,N,2003-03-29 00:00:00.000,vedmonds,2003-05-12 00:00:00.000,D,2009-07-09 10:09:34.293
557,2006-04-20 00:00:00.000,G,W,MSQ,mrodriguez,,17,N,2006-04-21 00:00:00.000,98,N,2006-04-20 00:00:00.000,sgaudio,2006-04-25 00:00:00.000,D,2009-07-09 10:09:34.293
558,2006-04-20 00:00:00.000,U,W,MSQ,mrodriguez,,19,N,2006-04-21 00:00:00.000,101,N,2006-04-20 00:00:00.000,sgaudio,2006-04-05 00:00:00.000,D,2009-07-09 10:09:34.293
763,2000-05-18 00:00:00.000,U,W,LPZ,dmurphy,,27,N,2000-05-18 00:00:00.000,122,N,2000-05-18 00:00:00.000,jhackshaw,2000-05-18 00:00:00.000,D,2009-07-09 10:09:34.293
856,2006-06-18 00:00:00.000,U,W,SWF,cdold,,32,N,2006-06-18 00:00:00.000,124,N,2006-06-18 00:00:00.000,bwagoner,2006-06-20 00:00:00.000,D,2009-07-09 10:09:34.293
888,2003-04-23 00:00:00.000,U,W,SWF,bnolan,,20,N,2003-04-23 00:00:00.000,109,N,2003-04-23 00:00:00.000,rrunnells,2003-04-23 00:00:00.000,D,2009-07-09 10:09:34.293
1093,2009-05-18 00:00:00.000,S,W,LPZ,dmurphy,Found calf swimming with dam upon arrival at 7 am. Placenta still attached to female.,35,N,2009-05-18 00:00:00.000,121,N,2009-05-18 00:00:00.000,vedmonds,2009-08-28 22:39:43.020,dszemer,2014-12-30 11:00:40.937
1096,2009-07-20 00:00:00.000,C,W,LPZ,dmurphy,Stillborn calf.  Reported dead at 2200 on 07/20/2009,20,N,2009-07-20 00:00:00.000,113,N,2009-07-20 00:00:00.000,vedmonds,2009-08-29 00:22:07.043,dszemer,2009-11-30 12:54:12.293
1098,1948-07-21 00:00:00.000,G,W,MSQ,rstevens,Born at Miami Aquarium,25,Y,1948-07-21 00:00:00.000,125,Y,1948-07-21 00:00:00.000,nadimey,2009-09-03 11:18:34.667,dszemer,2019-07-18 14:41:11.357
1201,2010-06-27 00:00:00.000,S,W,LPZ,testfac,Veterinarian Mike Walsh,70,Y,2010-06-27 00:00:00.000,106,Y,2010-06-27 00:00:00.000,vedmonds,2010-07-09 02:26:20.770,D,2010-07-09 02:26:20.770
1393,2012-04-16 00:00:00.000,U,W,SWF,sgearhart,"Mother was originally rescued 4/10/2012 due to watercraft, on 4/16/2012 she went into labor, birth sac was expelled, after several hours there was no change, had to go in and remove calf, calf was already starting to decompose.",25,Y,2012-04-16 00:00:00.000,100,Y,2012-04-16 00:00:00.000,bwagoner,2012-04-20 12:41:45.773,D,2012-04-20 12:41:45.773
1409,2012-07-03 00:00:00.000,S,W,LPZ,rball,,30,N,2012-07-05 00:00:00.000,128,N,2012-07-05 00:00:00.000,vedmonds,2012-07-17 09:07:29.700,D,2012-07-17 09:07:29.700
1411,2012-07-19 00:00:00.000,G,W,SWF,sgearhart,"Calf was born to rescued animal SWFTm1212B, born between 3AM-6AM on the morning of 7/19/2012. Calf started nursing within 24 hours.",30,Y,2012-07-19 00:00:00.000,120,Y,2012-07-19 00:00:00.000,bwagoner,2012-07-22 15:56:57.017,D,2012-07-22 15:56:57.017
1466,2012-05-13 00:00:00.000,C,W,LPZ,rball,Stillborn.,47,N,2012-05-15 00:00:00.000,134,N,2012-05-15 00:00:00.000,dszemer,2013-02-19 12:12:11.850,D,2013-02-19 12:12:11.850
1613,2014-12-23 00:00:00.000,C,W,LPZ,rball,"manatee in labor at 1330, gave birth to stillborn calf at 2330",40,N,2014-12-23 00:00:00.000,130,N,2014-12-23 00:00:00.000,vedmonds,2014-12-31 06:05:03.837,dszemer,2016-02-04 10:45:26.597
1721,1994-10-12 00:00:00.000,C,W,SWF,mcampbell,"Mother rescued on 11 October 1994 for respiratory problems (fish hook in throat).  Heart beats were not heard from the fetus; therefore, the fetus was pulled.",50,N,1994-10-14 00:00:00.000,140,N,1994-10-14 00:00:00.000,dszemer,2016-02-26 09:27:47.143,D,2016-02-26 09:27:47.143
3288,2020-05-12 00:00:00.000,S,W,SWF,sdirocco,Born to rescued mom 2 days after intake,30,Y,2020-05-12 00:00:00.000,120,Y,2020-05-12 00:00:00.000,lbraso,2020-05-15 07:44:15.730,D,2020-05-15 07:44:15.730
3292,2020-06-05 00:00:00.000,S,W,SWF,sdirocco,BORN 4 DAYS AFTER MOM Tm2020 RESCUED,23,Y,2020-06-05 00:00:00.000,100,Y,2020-06-05 00:00:00.000,lbraso,2020-06-07 09:45:22.810,D,2020-06-07 09:45:22.810
11796,2023-06-05 00:00:00.000,U,W,SWF,sdirocco,Stillborn,28,N,2023-06-05 00:00:00.000,127,N,2023-06-05 00:00:00.000,ngordon,2024-01-26 13:46:31.140,D,2024-01-26 13:46:31.140
